fantasy_team_name,player_name,pos,team,slot,proj_ens_points,rank
Le'Veon A Prayer,Kyler Murray,QB,ARI,QB,0.24096385542168675,83.0
Le'Veon A Prayer,Christian McCaffrey,RB,SF,RB,0.2857142857142857,7.0
Le'Veon A Prayer,Josh Jacobs,RB,GB,RB,0.125,16.0
Le'Veon A Prayer,Mike Evans,WR,TB,WR,0.025,40.0
Le'Veon A Prayer,Zay Flowers,WR,BAL,WR,0.01639344262295082,61.0
Le'Veon A Prayer,Trey McBride,TE,ARI,TE,0.6835258197265366,27.0
Le'Veon A Prayer,Cameron Dicker,K,LAC,K,0.8046875000000001,128.0
Le'Veon A Prayer,Denver,DST,DEN,DST,0.0,
Le'Veon A Prayer,Breece Hall,RB,NYJ,FLEX,0.05263157894736842,38.0
Le'Veon A Prayer,Javonte Williams,RB,DAL,BN,0.018691588785046728,107.0
Le'Veon A Prayer,Bhayshul Tuten,RB,JAX,BN,0.013513513513513514,148.0
Le'Veon A Prayer,Chris Olave,WR,NO,BN,0.01282051282051282,78.0
Le'Veon A Prayer,Ray Davis,RB,BUF,BN,0.011627906976744186,172.0
Le'Veon A Prayer,Matthew Golden,WR,GB,BN,0.011235955056179775,89.0
Le'Veon A Prayer,Isaac Guerendo,RB,SF,BN,0.009569377990430622,209.0
Le'Veon A Prayer,Jalen Coker,WR,CAR,BN,0.0038461538461538464,260.0
Le'Veon A Prayer,Hollywood Brown,WR,KC,BN,0.0,
