fantasy_team_name,player_name,pos,team,slot,proj_ens_points,rank,gtime
Le'Veon A Prayer,Kyler Murray,QB,ARI,QB,0.2409638554216867,83.0,2025-09-26T00:15:00Z
Le'Veon A Prayer,Christian McCaffrey,RB,SF,RB,0.2857142857142857,7.0,2025-09-28T20:05:00Z
Le'Veon A Prayer,Josh Jacobs,RB,GB,RB,0.125,16.0,2025-09-29T00:20:00Z
Le'Veon A Prayer,Mike Evans,WR,TB,WR,0.025,40.0,2025-09-28T17:00:00Z
Le'Veon A Prayer,Zay Flowers,WR,BAL,WR,0.0163934426229508,61.0,2025-09-28T20:25:00Z
Le'Veon A Prayer,Trey McBride,TE,ARI,TE,0.6835258197265366,27.0,2025-09-26T00:15:00Z
Le'Veon A Prayer,Cameron Dicker,K,LAC,K,0.8046875000000001,128.0,2025-09-28T17:00:00Z
Le'Veon A Prayer,Denver,DST,DEN,DST,0.0,,2025-09-30T00:15:00Z
Le'Veon A Prayer,Breece Hall,RB,NYJ,FLEX,0.0526315789473684,38.0,2025-09-29T23:15:00Z
Le'Veon A Prayer,Javonte Williams,RB,DAL,BN,0.0186915887850467,107.0,2025-09-29T00:20:00Z
Le'Veon A Prayer,Bhayshul Tuten,RB,JAX,BN,0.0135135135135135,148.0,2025-09-28T20:05:00Z
Le'Veon A Prayer,Chris Olave,WR,NO,BN,0.5,78.0,2025-09-28T17:00:00Z
Le'Veon A Prayer,Ray Davis,RB,BUF,BN,0.0116279069767441,172.0,2025-09-28T17:00:00Z
Le'Veon A Prayer,Matthew Golden,WR,GB,BN,0.0112359550561797,89.0,2025-09-29T00:20:00Z
Le'Veon A Prayer,Isaac Guerendo,RB,SF,BN,0.0095693779904306,209.0,2025-09-28T20:05:00Z
Le'Veon A Prayer,Jalen Coker,WR,CAR,BN,0.0038461538461538,260.0,2025-09-28T17:00:00Z
Le'Veon A Prayer,Hollywood Brown,WR,KC,BN,0.0,,2025-09-28T20:25:00Z
